127.0.0.1 - - [18/Dec/2024:11:20:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:20:43 +0900] "GET /jspHomePage/home/media/NewFile.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:20:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:21:16 +0900] "GET /jspHomePage/home/media/NewFile.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:21:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:21:26 +0900] "GET /jspHomePage/home/media/NewFile.jsp HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:21:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:22:21 +0900] "GET /jspHomePage/home/media/NewFile.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:22:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:21 +0900] "GET /jspHomePage/home/media/NewFile.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:22 +0900] "GET /jspHomePage/index.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:22 +0900] "GET /home/mainPage.jsp HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:45 +0900] "GET /home/mainPage.jsp HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:47 +0900] "GET /jspHomePage/home/media/NewFile.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:48 +0900] "GET /jspHomePage/index.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:49 +0900] "GET /jspHomePage/home/mainPage.jsp HTTP/1.1" 200 6204
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:49 +0900] "GET /jspHomePage/home/css/MainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:49 +0900] "GET /jspHomePage/home/media/slide-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:49 +0900] "GET /jspHomePage/home/css/common.css HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:49 +0900] "GET /jspHomePage/home/media/slide-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:49 +0900] "GET /jspHomePage/home/css/carouselSection.css HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:49 +0900] "GET /jspHomePage/home/css/headerNav.css HTTP/1.1" 200 2357
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:49 +0900] "GET /jspHomePage/home/js/common.js HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:49 +0900] "GET /jspHomePage/home/media/slide-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:49 +0900] "GET /jspHomePage/home/js/headerNav.js HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:49 +0900] "GET /jspHomePage/home/media/slide-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:23:49 +0900] "GET /jspHomePage/home/js/carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:26:56 +0900] "GET /jspHomePage/home/media/NewFile.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:26:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:26:57 +0900] "GET /jspHomePage/index.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:26:58 +0900] "GET /jspHomePage/home/mainPage.jsp HTTP/1.1" 200 6204
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:27:08 +0900] "GET /jspHomePage/home/media/NewFile.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:27:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:27:08 +0900] "GET /jspHomePage/home/media/NewFile.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:27:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:27:08 +0900] "GET /jspHomePage/home/media/NewFile.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:27:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:27:09 +0900] "GET /jspHomePage/home/media/NewFile.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:27:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:27:09 +0900] "GET /jspHomePage/index24.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:27:09 +0900] "GET /jspHomPage/home/mainPage.jsp?status=8 HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:27:24 +0900] "GET /jspHomePage/home/media/NewFile.jsp HTTP/1.1" 200 202
